sent_id	measure	referee	stark	syntcomplex	type
ssj5.25.82	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj5.25.82	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.32.106	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.32.106	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.32.107	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.32.107	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.34.136	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.34.136	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.35.164	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.35.164	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.36.177	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj6.36.177	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.100.423	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.100.423	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.102.432	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.102.432	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.106.449	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj21.106.449	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj22.110.474	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj22.110.474	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj32.191.774	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj32.191.774	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj36.213.876	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj36.213.876	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj36.213.877	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj36.213.877	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj40.238.953	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj40.238.953	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj40.239.956	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj40.239.956	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj42.255.1018	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj42.255.1018	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj42.257.1029	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj42.257.1029	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj44.264.1058	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj44.264.1058	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj46.300.1219	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj46.300.1219	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj46.307.1249	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj46.307.1249	NDD	n/a	0.00	n/a	stark_na_reported_as_zero
ssj54.341.1389	MDD	n/a	0.00	n/a	stark_na_reported_as_zero
