split	metric	value
train	sentences	10903
train	stark_mapped	10903
train	unmatched_stark	0
train	missing_rows	0
train	edge_case_sentences	90
train	other_disagreements	0
train	MDD_ref_vs_stark_match	10813
train	MDD_ref_vs_stark_mismatch	90
train	MDD_ref_vs_synt_match	10903
train	MDD_ref_vs_synt_mismatch	0
train	NDD_ref_vs_stark_match	10813
train	NDD_ref_vs_stark_mismatch	90
train	NDD_ref_vs_synt_match	10903
train	NDD_ref_vs_synt_mismatch	0
train	maxdepth_ref_vs_stark_match	10903
train	maxdepth_ref_vs_stark_mismatch	0
train	maxdepth_ref_vs_synt_match	10903
train	maxdepth_ref_vs_synt_mismatch	0
train	clauses_ref_vs_stark_match	10903
train	clauses_ref_vs_stark_mismatch	0
train	clauses_ref_vs_synt_match	10903
train	clauses_ref_vs_synt_mismatch	0
train	tunits_ref_vs_stark_match	10903
train	tunits_ref_vs_stark_mismatch	0
train	tunits_ref_vs_synt_match	10903
train	tunits_ref_vs_synt_mismatch	0
train	cpt_ref_vs_stark_match	10903
train	cpt_ref_vs_stark_mismatch	0
train	cpt_ref_vs_synt_match	10903
train	cpt_ref_vs_synt_mismatch	0
train	ntokens_ref_vs_stark_match	10903
train	ntokens_ref_vs_stark_mismatch	0
train	ntokens_ref_vs_synt_match	10903
train	ntokens_ref_vs_synt_mismatch	0
