SENT_ID	MDD	NDD	MAXIMUM_TREE_DEPTH	#_OF_TOKENS	#_OF_CLAUSES	#_OF_T-UNITS	CLAUSES_PER_T-UNIT
ssj168.1149.4225	2.857142857142857	1.2426616148366083	4	20	2	2	1.0
elexiswsd1.160.sl.130976	2.230769230769231	1.1732753867657764	8	18	1	1	1.0
ssj22.110.472	1.75	1.1732521634644406	4	10	1	1	1.0
ssj233.1540.5579	5.285714285714286	1.0711275732468262	4	18	2	1	2.0
ssj75.470.1760	2.6	0.9478197998577236	4	11	2	1	2.0
ssj446.2435.8550	2.3125	0.5479651707154474	7	19	2	1	2.0
elexiswsd1.1568.sl.132393	1.9166666666666667	1.2850129393127958	5	14	3	2	1.5
ssj78.513.1927	2.642857142857143	1.0408152623386089	5	17	2	2	1.0
ssj27.131.538	3.3	0.3039436683045611	5	20	1	1	1.0
ssj376.2161.7675	2.608695652173913	1.7601893081686468	7	28	5	2	2.5
ssj318.1899.6775	1.75	1.2848239391215455	4	10	1	1	1.0
ssj372.2138.7607	4.18	2.0235663929544034	7	59	4	2	2.0
ssj240.1579.5710	2.0	1.8747520379651856	6	19	1	1	1.0
elexiswsd1.810.sl.131628	2.357142857142857	1.5017992037963257	6	16	1	1	1.0
ssj90.590.2219	2.6	0.19578110146958644	4	13	2	1	2.0
ssj342.1997.7091	2.3684210526315788	1.414714935196391	4	22	2	2	1.0
ssj193.1282.4632	2.0	0.8958797346140274	3	8	1	1	1.0
ssj427.2374.8348	5.666666666666667	0.8862724521417147	5	32	2	1	2.0
ssj299.1814.6426	2.6666666666666665	0.37319584753937896	3	6	1	1	1.0
ssj480.2588.9243	2.4615384615384617	1.0748353139525237	5	16	2	2	1.0
ssj3.10.39	2.357142857142857	1.155225613516353	4	17	1	1	1.0
ssj149.1021.3830	3.2222222222222223	1.2480697008254844	5	21	2	2	1.0
elexiswsd1.1449.sl.132271	1.5	1.2951335827229133	3	8	1	1	1.0
ssj220.1449.5249	1.4	1.017552863929892	4	7	1	1	1.0
ssj133.866.3318	2.4444444444444446	0.754100556980068	4	12	3	1	3.0
ssj75.485.1817	3.3684210526315788	1.2307304599176456	5	24	3	1	3.0
ssj206.1390.5044	3.0	0.5493061443340549	3	5	1	1	1.0
ssj389.2223.7861	3.04	1.1907275775759154	6	28	2	1	2.0
